_id,No.,Type,Line,Station_Code,Station_Name,Passenger_Arrival,Passenger_Departure,Date
1,1,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3729,3343,2022-01-01T00:00:00
2,2,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,2997,3318,2022-01-01T00:00:00
3,3,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,659,674,2022-01-01T00:00:00
4,4,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1269,1315,2022-01-01T00:00:00
5,5,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1564,1699,2022-01-01T00:00:00
6,6,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,2552,2675,2022-01-01T00:00:00
7,7,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,920,829,2022-01-01T00:00:00
8,8,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,3828,3665,2022-01-01T00:00:00
9,9,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4158,3160,2022-01-02T00:00:00
10,10,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3399,3395,2022-01-02T00:00:00
11,11,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,702,743,2022-01-02T00:00:00
12,12,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1313,1444,2022-01-02T00:00:00
13,13,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1421,1766,2022-01-02T00:00:00
14,14,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,2709,2930,2022-01-02T00:00:00
15,15,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,949,854,2022-01-02T00:00:00
16,16,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,3817,4176,2022-01-02T00:00:00
17,17,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5546,3405,2022-01-03T00:00:00
18,18,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3572,3647,2022-01-03T00:00:00
19,19,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,818,768,2022-01-03T00:00:00
20,20,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1408,1586,2022-01-03T00:00:00
21,21,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1665,2219,2022-01-03T00:00:00
22,22,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,2876,3582,2022-01-03T00:00:00
23,23,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1062,978,2022-01-03T00:00:00
24,24,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4103,4865,2022-01-03T00:00:00
25,25,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5270,3809,2022-01-04T00:00:00
26,26,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5579,5670,2022-01-04T00:00:00
27,27,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1793,1757,2022-01-04T00:00:00
28,28,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2599,2760,2022-01-04T00:00:00
29,29,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3021,3369,2022-01-04T00:00:00
30,30,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5020,5535,2022-01-04T00:00:00
31,31,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1565,1597,2022-01-04T00:00:00
32,32,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6363,6713,2022-01-04T00:00:00
33,33,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5304,3635,2022-01-05T00:00:00
34,34,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5465,5665,2022-01-05T00:00:00
35,35,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1839,1805,2022-01-05T00:00:00
36,36,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2753,2717,2022-01-05T00:00:00
37,37,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3098,3422,2022-01-05T00:00:00
38,38,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4973,5694,2022-01-05T00:00:00
39,39,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1575,1585,2022-01-05T00:00:00
40,40,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6275,6759,2022-01-05T00:00:00
41,41,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,5027,3825,2022-01-06T00:00:00
42,42,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5435,5547,2022-01-06T00:00:00
43,43,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1891,1877,2022-01-06T00:00:00
44,44,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2730,2718,2022-01-06T00:00:00
45,45,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3147,3374,2022-01-06T00:00:00
46,46,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4968,5546,2022-01-06T00:00:00
47,47,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1625,1627,2022-01-06T00:00:00
48,48,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6297,6606,2022-01-06T00:00:00
49,49,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4766,3724,2022-01-07T00:00:00
50,50,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5565,5600,2022-01-07T00:00:00
51,51,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1842,1752,2022-01-07T00:00:00
52,52,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2681,2623,2022-01-07T00:00:00
53,53,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3195,3332,2022-01-07T00:00:00
54,54,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5023,5602,2022-01-07T00:00:00
55,55,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1609,1635,2022-01-07T00:00:00
56,56,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6321,6734,2022-01-07T00:00:00
57,57,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4214,3332,2022-01-08T00:00:00
58,58,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,4012,4221,2022-01-08T00:00:00
59,59,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1068,1068,2022-01-08T00:00:00
60,60,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1824,1820,2022-01-08T00:00:00
61,61,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2088,2215,2022-01-08T00:00:00
62,62,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3621,4026,2022-01-08T00:00:00
63,63,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1254,1186,2022-01-08T00:00:00
64,64,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4633,4846,2022-01-08T00:00:00
65,65,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4014,3182,2022-01-09T00:00:00
66,66,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,3739,3757,2022-01-09T00:00:00
67,67,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,800,771,2022-01-09T00:00:00
68,68,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,1464,1480,2022-01-09T00:00:00
69,69,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,1636,1928,2022-01-09T00:00:00
70,70,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,3111,3428,2022-01-09T00:00:00
71,71,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1098,941,2022-01-09T00:00:00
72,72,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,4012,4387,2022-01-09T00:00:00
73,73,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4306,3617,2022-01-10T00:00:00
74,74,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5458,5432,2022-01-10T00:00:00
75,75,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1800,1716,2022-01-10T00:00:00
76,76,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2578,2575,2022-01-10T00:00:00
77,77,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3196,3372,2022-01-10T00:00:00
78,78,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,5045,5407,2022-01-10T00:00:00
79,79,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1575,1538,2022-01-10T00:00:00
80,80,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,6081,6382,2022-01-10T00:00:00
81,81,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,4284,3426,2022-01-11T00:00:00
82,82,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5145,5199,2022-01-11T00:00:00
83,83,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1786,1707,2022-01-11T00:00:00
84,84,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2591,2565,2022-01-11T00:00:00
85,85,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,3066,3130,2022-01-11T00:00:00
86,86,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4864,5297,2022-01-11T00:00:00
87,87,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1526,1602,2022-01-11T00:00:00
88,88,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5782,6118,2022-01-11T00:00:00
89,89,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3895,3490,2022-01-12T00:00:00
90,90,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5149,5089,2022-01-12T00:00:00
91,91,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1746,1645,2022-01-12T00:00:00
92,92,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A4,หัวหมาก,2568,2491,2022-01-12T00:00:00
93,93,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A5,รามคำแหง,2946,3063,2022-01-12T00:00:00
94,94,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A6,มักกะสัน,4687,5152,2022-01-12T00:00:00
95,95,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A7,ราชปรารภ,1547,1529,2022-01-12T00:00:00
96,96,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A8,พญาไท,5717,5796,2022-01-12T00:00:00
97,97,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A1,สุวรรณภูมิ,3973,3532,2022-01-13T00:00:00
98,98,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A2,ลาดกระบัง,5115,5042,2022-01-13T00:00:00
99,99,รถไฟระหว่างเมือง,แอร์พอร์ต เรล ลิงก์,A3,บ้านทับช้าง,1704,1599,2022-01-13T00:00:00
